Id,Title,Name in Hebrew,Name in German,Pseudonym,Gender,Date of birth,Place of birth,Date of death,Place of death,Occupation,VIAF ID
person1423,ליב הערלסהיים,ליב הערלסהיים,ליב הערלסהיים,,,,,,,,
person1424,ליב מינדן,ליב מינדן,ליב מינדן,,,,,,,,308273494
person1425,ליב קראנקע,ליב קראנקע,ליב קראנקע,,,,,,,,
person1426,ליבש אברמאוויץ,ליבש אברמאוויץ,ליבש אברמאוויץ,,,,,,,,
person1427,ליבש בערינשטיין,ליבש בערינשטיין,ליבש בערינשטיין,,,,,,,,
person1428,ליבש פשעווערסקער,ליבש פשעווערסקער,ליבש פשעווערסקער,,,,,,,,
person1429,ליזר באמבורג,ליזר באמבורג,ליזר באמבורג,,,,,,,,
person1430,ליזר בישיטץ,ליזר בישיטץ,ליזר בישיטץ,,,,,,,,
person1431,ליזר בישיטץ,ליזר בישיטץ,ליזר בישיטץ,,,,,,,,
person1432,"ליזר בר""ל פרענקל","ליזר בר""ל פרענקל","ליזר בר""ל פרענקל",,,,,,,,
person1433,"ליזר בר""ש פרעגר","ליזר בר""ש פרעגר","ליזר בר""ש פרעגר",,,,,,,,
person1434,ליזר נייאגאם,ליזר נייאגאם,ליזר נייאגאם,,,,,,,,
person1435,ליזר קרא,ליזר קרא,ליזר קרא,,,,,,,,
person1436,ליזר קראטשין,ליזר קראטשין,ליזר קראטשין,,,,,,,,
person1437,לימא רעננער,לימא רעננער,לימא רעננער,,,,,,,,
person1438,ליפמאן אלעקסאנדר,ליפמאן אלעקסאנדר,ליפמאן אלעקסאנדר,,,,,,,,
person1439,ליפמן אויבינבאכר,ליפמן אויבינבאכר,ליפמן אויבינבאכר,,,,,,,,
person1440,ליפמן בערלין (Hofrat),ליפמן בערלין,ליפמן בערלין (Hofrat),,,,,,,,
person1441,"ליפמן בר""ה ריס","ליפמן בר""ה ריס","ליפמן בר""ה ריס",,,,,,,,
person1442,"ליפמן בר""מ","ליפמן בר""מ","ליפמן בר""מ",,,,,,,,45987526
person1443,"ליפמן בר""מ לוי","ליפמן בר""מ לוי (פו''מ)","ליפמן בר""מ לוי",,,,,,,,
person1444,ליפמן פאהן,"ליפמן פאהן (פו""מ)",ליפמן פאהן,,,,,,,,
person1445,"ליפמן ר""ק","ליפמן ר""ק","ליפמן ר""ק",,,,,,,,
person1446,ליפמן שטורם,ליפמן שטורם,ליפמן שטורם,,,,,,,,
person1447,"לנדסבערג, חיים","לנדסבערג, חיים","לנדסבערג, חיים",,,,,,,,
person1448,לעאנהערד געץ,לעאנהערד געץ,לעאנהערד געץ,,,,,,,,
person1449,"לעאפאלד, עדלער פאן הערץ","לעאפאלד, עדלער פאן הערץ (עדלער פאן הערץ)","לעאפאלד, עדלער פאן הערץ",,,,,,,,
person1450,לעוו באבעללע,לעוו באבעללע,לעוו באבעללע,,,,,,,,
person1451,לעווינגער,לעווינגער,לעווינגער,,,,,,,,308280884
person1452,לעווענטהאל,לעווענטהאל,לעווענטהאל,,,,,,,,299008094
person1453,לעזער קליינבערג,לעזער קליינבערג,לעזער קליינבערג,,,,,,,,
person1454,לעזער ראטטענבערג,לעזער ראטטענבערג,לעזער ראטטענבערג,,,,,,,,
person1455,"לעמלי בן פ""ומ ר""מ ג""ר","לעמלי בן פ""ומ ר""מ ג""ר","לעמלי בן פ""ומ ר""מ ג""ר",,,,,,,,
person1456,לעקיש וורבורג,לעקיש וורבורג,לעקיש וורבורג,,,,,,,,
person1457,לעקש,לעקש,לעקש,,,,,,,,
person1458,מ' אי' ליידעסדארף,מ' אי' ליידעסדארף,מ' אי' ליידעסדארף,,,,,,,,
person1459,מ' ג' פירטה,מ' ג' פירטה,מ' ג' פירטה,,,,,,,,
person1460,מ' ל' גאלדשמיעד,מ' ל' גאלדשמיעד,מ' ל' גאלדשמיעד,,,,,,,,
person1461,מ' עטטינגער,מ' עטטינגער,מ' עטטינגער,,,,,,,,
person1462,"מ""מ אברהם שול הויף מ""ס","מ""מ אברהם שול הויף מ""ס","מ""מ אברהם שול הויף מ""ס",,,,,,,,97118908
person1463,"מאדאם קילא אלמנת ר' יקותיאל פו""מ","מאדאם קילא אלמנת ר' יקותיאל פו""מ","מאדאם קילא אלמנת ר' יקותיאל פו""מ",,,,,,,,
person1464,"מאדאם קרינלה אלמנת ר""י אמספארט","מאדאם קרינלה אלמנת ר""י אמספארט","מאדאם קרינלה אלמנת ר""י אמספארט",,,,,,,,
person1465,מאדאם רייצל יאעל,מאדאם רייצל יאעל,מאדאם רייצל יאעל,,,,,,,,
person1466,מאדאם שארלאטטע דוקאס,מאדאם שארלאטטע דוקאס,מאדאם שארלאטטע דוקאס,,,,,,,,
person1467,מאזעס גרינבוים,מאזעס גרינבוים,מאזעס גרינבוים,,,,,,,,
person1468,מאזעס טויבער,מאזעס טויבער,מאזעס טויבער,,,,,,,,
person1469,מאזעס מאהל (Dr. med.),מאזעס מאהל,מאזעס מאהל (Dr. med.),,,,,,,,
person1470,מאזעס קאבלענצער,מאזעס קאבלענצער,מאזעס קאבלענצער,,,,,,,,
