Uniqe ID,Title,Producer of book,Name of book producer,Role in book creation,Notes on roles in book's creation,Does the person's name appear in the book,Name as it appears in the book,Evidence for person's identity if it does not appear in the book,Approximate age during writing of book,Religion during writing of book,Location during writing of book,References for person and book
producer335,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין ליום כפור - 1803,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer336,"Baschwitz - בשוויץ, ברוך",מחזור מנהג פולין ליום כפור - 1803,"Baschwitz - בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer337,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין ליום כפור - 1803,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer339,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין ליום ראשון ושני של פסח - 1800,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer340,"בשוויץ, ברוך",מחזור מנהג פולין ליום ראשון ושני של פסח - 1800,"בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer341,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין ליום ראשון של ראש השנה - 1800,"Heidenheim, Wolf - הידנהים, וולף","Translator,Mevi La'Dfus (Producer)",,,,,,,,
producer342,"בשוויץ, ברוך",מחזור מנהג פולין ליום ראשון של ראש השנה - 1800,"בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer343,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין ליום שביעי ושמיני של פסח - 1800,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer344,"בשוויץ, ברוך",מחזור מנהג פולין ליום שביעי ושמיני של פסח - 1800,"בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer345,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין ליום שני של ראש השנה - 1800,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer346,"בשוויץ, ברוך",מחזור מנהג פולין ליום שני של ראש השנה - 1800,"בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer347,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין לערבית ליום כפור - 1800,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer348,"בשוויץ, ברוך",מחזור מנהג פולין לערבית ליום כפור - 1800,"בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer349,"Heidenheim, Wolf - הידנהים, וולף",מחזור מנהג פולין לשמיני עצרת ולשמחת תורה - 1805,"Heidenheim, Wolf - הידנהים, וולף","Translator,Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer350,"בשוויץ, ברוך",מחזור מנהג פולין לשמיני עצרת ולשמחת תורה - 1805,"בשוויץ, ברוך",Mevi La'Dfus (Producer),,,,,,,,
producer351,"Cohen, Salomon Jacob - כהן, שלום",מטעי קדם על אדמת צפון,"Cohen, Salomon Jacob - כהן, שלום",Author,,,,,,,,
producer354,"Herz, Marcus - הרץ, מרכוס",מכתב,"Herz, Marcus - הרץ, מרכוס",Author,,,,,,,,
producer355,אנונימי,מכתב,אנונימי,"Author,Translator",,,,,,,,
producer352,"Satanow, Isaak - סטנוב, יצחק",מכתב מרפא לנפש,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer353,"Friedländer, David - פרידלענדר, דוד",מכתב מרפא לנפש,"Friedländer, David - פרידלענדר, דוד",Author,,,,,,,,
producer356,אנונימי,מכתבי הרבנים,אנונימי,Author,,,,,,,,
producer357,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ",מלוכת שאול,"Troplowitz, Joseph Ephrati - האפרתי, יוסף מטראפלוויץ",Author,,,,,,,,
producer358,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",מליצה לפורים,"Ben Seew, Juda Löb - בן-זאב, יהודה ליב",Author,,,,,,,,
producer359,"Friedrichsfeld, David - פרידריכספלד, דוד",מנחת אהבים,"Friedrichsfeld, David - פרידריכספלד, דוד",Author,,,,,,,,
producer360,"Schönemann, Salomo - שינמן, שלמה",מנחת בקורים,"Schönemann, Salomo - שינמן, שלמה",Author,,,,,,,,
producer361,"Satanow, Isaak - סטנוב, יצחק",מנחת בקורים,"Satanow, Isaak - סטנוב, יצחק",,,,,,,,,
producer362,"Belinfante, Isaac - בלינפנטי, יצחק",מנחת נדבה,"Belinfante, Isaac - בלינפנטי, יצחק",Author,,,,,,,,
producer363,"Wessely, Hartwig - וייזל, נפתלי הרץ",מסכת אבות,"Wessely, Hartwig - וייזל, נפתלי הרץ",Commentator,,,,,,,,
producer364,"Baras, Simon - בר""ז, שמעון",מערכי לב,"Baras, Simon - בר""ז, שמעון",Author,,,,,,,,
producer365,"Mendelsohn, Moses - מנדלסון (פרנקפורט), משה",מציאת הארץ החדשה א,"Mendelsohn, Moses - מנדלסון (פרנקפורט), משה",Translator,,,,,,,,
producer366,"Wessely, Hartwig - וייזל, נפתלי הרץ",מציאת הארץ החדשה א,"Wessely, Hartwig - וייזל, נפתלי הרץ",Editor,,,,,,,,
producer367,אנונימי,מציאת הארץ החדשה א,אנונימי,,,,,,,,,
producer368,"Romanelli, Samuel - רומנלי, שמואל",משא בערב,"Romanelli, Samuel - רומנלי, שמואל",Author,,,,,,,,
producer369,"Cohen, Salomon Jacob - כהן, שלום",משלי אגור א,"Cohen, Salomon Jacob - כהן, שלום",Author,,,,,,,,
producer370,"Satanow, Isaak - סטנוב, יצחק",משלי אסף א,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer371,"Satanow, Isaak - סטנוב, יצחק",משלי אסף ב,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer372,"Satanow, Isaak - סטנוב, יצחק",משלי אסף ג,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer373,"Satanow, Isaak - סטנוב, יצחק",נבואת הילד,"Satanow, Isaak - סטנוב, יצחק",Commentator,,,,,,,,
producer374,Anonymous,נתיב לשון עברית,Anonymous,Author,,,,,,,,
producer375,"Löwe, Joel - ברי""ל, יואל",סדר הגדה על פסח,"Löwe, Joel - ברי""ל, יואל",Translator,,,,,,,,
producer376,"Satanow, Isaak - סטנוב, יצחק",סדר הגדה על פסח,"Satanow, Isaak - סטנוב, יצחק",,,,,,,,,
producer377,"Cöslin, Chajim - קסלין, חיים",סדר לוח הבנינים ולוח משקלי השמות,"Cöslin, Chajim - קסלין, חיים",,,,,,,,,
producer378,"Satanow, Isaak - סטנוב, יצחק",סדר סליחה,"Satanow, Isaak - סטנוב, יצחק",Editor,,,,,,,,
producer379,"Ottensosser, David - אוטנזוסר, דוד",סדר קינות לתשעה באב,"Ottensosser, David - אוטנזוסר, דוד",Translator,,,,,,,,
producer380,"Zirndorffer, Isaac David - צירנדורף, איצק",סדר קינות לתשעה באב,"Zirndorffer, Isaac David - צירנדורף, איצק",Mevi La'Dfus (Producer),,,,,,,,
producer381,"Worms, Ascher Anschel - וורמס, אנשיל",סייג לתורה,"Worms, Ascher Anschel - וורמס, אנשיל",Author,,,,,,,,
producer382,"Worms, Wolff - וורמס, וולף",סייג לתורה,"Worms, Wolff - וורמס, וולף",Mevi La'Dfus (Producer),,,,,,,,
producer383,"Levison, George (Mordechai Gumpel Schnaber) - שנאבר-לויזון, גומפל מרדכי",סלת מנחה בלולה,"Levison, George (Mordechai Gumpel Schnaber) - שנאבר-לויזון, גומפל מרדכי",Author,,,,,,,,
producer384,"מרגליות, יהודה ליב בן אשר זליג","ספר אגרת המליצה ומשפט לשה""ק","מרגליות, יהודה ליב בן אשר זליג",Author,,,,,,,,
producer385,"Soldin, Jakob - זולדין, אליקים איסרל",ספר אגרת הקדש,"Soldin, Jakob - זולדין, אליקים איסרל",Mevi La'Dfus (Producer),,,,,,,,
producer386,"נפתלי הירץ בן יהודה ליב, מהלברשטט",ספר אור לעת בקר,"נפתלי הירץ בן יהודה ליב, מהלברשטט",,,,,,,,,
producer388,"מרגליות, יהודה ליב בן אשר זליג",ספר אור עולם,"מרגליות, יהודה ליב בן אשר זליג",Author,,,,,,,,
producer387,יהודה ליב בן משה מהמבורג,ספר אור עולם קטן א,יהודה ליב בן משה מהמבורג,,,,,,,,,
producer389,"Satanow, Isaak - סטנוב, יצחק",ספר איוב,"Satanow, Isaak - סטנוב, יצחק",Commentator,,,,,,,,
producer390,"Satanow, Isaak - סטנוב, יצחק",ספר אמרי בינה,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer391,"יוסף שלמה, מליסא",ספר בחינות עולם,"יוסף שלמה, מליסא",Mevi La'Dfus (Producer),,,,,,,,
producer392,"(Feder)-Guttmann, Tuvia - פדר, טוביה",ספר בית נאמן,"(Feder)-Guttmann, Tuvia - פדר, טוביה",Author,,,,,,,,
producer393,"Dubno, Salomon - דובנא, שלמה",ספר ברכת יוסף,"Dubno, Salomon - דובנא, שלמה",Author,,,,,,,,
producer394,"Levi, Avigdor - לוי, אביגדור",ספר דבר טוב,"Levi, Avigdor - לוי, אביגדור",Author,,,,,,,,
producer395,"Schwab, Abraham ben Menachem Mendel - שוואב, אברהם בן מנחם מנדל",ספר דברי יושר א,"Schwab, Abraham ben Menachem Mendel - שוואב, אברהם בן מנחם מנדל",Author,,,,,,,,
producer396,"Schwab, Abraham ben Menachem Mendel - שוואב, אברהם בן מנחם מנדל",ספר דברי יושר ב,"Schwab, Abraham ben Menachem Mendel - שוואב, אברהם בן מנחם מנדל",Author,,,,,,,,
producer397,"Marcus (Ilfeld), Hartog (Hirsch) - מרקוס, צבי הירש בן מרדכי",ספר דברי נגידים,"Marcus (Ilfeld), Hartog (Hirsch) - מרקוס, צבי הירש בן מרדכי",Translator,,,,,,,,
producer398,"Wolf, Joseph - וולף, יוסף",ספר דניאל,"Wolf, Joseph - וולף, יוסף",Translator,,,,,,,,
producer399,"Philippson, Moses - פיליפסון, משה",ספר דניאל,"Philippson, Moses - פיליפסון, משה",Commentator,,,,,,,,
producer400,"Driesen, Mordechai - דריזן, מרדכי בן שמעיה",ספר דקדוק אליהו הלוי האשכנזי,"Driesen, Mordechai - דריזן, מרדכי בן שמעיה",Mevi La'Dfus (Producer),,,,,,,,
producer401,"Marcus (Ilfeld), Hartog (Hirsch) - מרקוס, צבי הירש בן מרדכי",ספר דרך ההשגחה,"Marcus (Ilfeld), Hartog (Hirsch) - מרקוס, צבי הירש בן מרדכי",Author,,,,,,,,
producer402,"Baruch Schick of Shklov - שיק, ברוך משקלוב",ספר דרך ישרה,"Baruch Schick of Shklov - שיק, ברוך משקלוב",Author,,,,,,,,
producer403,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך",ספר האורב,"Jeitteles, Baruch (Benedict) - ייטלש, ברוך",Author,,,,,,,,
producer404,"הורוויץ, פנחס אליהו",ספר הברית א,"הורוויץ, פנחס אליהו","Author,Translator",,,,,,,,
producer405,"Satanow, Isaak - סטנוב, יצחק",ספר הגדרים,"Satanow, Isaak - סטנוב, יצחק",,,,,,,,,
producer406,"Satanow, Isaak - סטנוב, יצחק",ספר הגלוי והחתום,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer407,"Satanow, Isaak - סטנוב, יצחק",ספר הולך תמים,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer408,"Satanow, Isaak - סטנוב, יצחק",ספר החזיון א,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer409,"Horowitz, Jehuda - הורוויץ, יהודה",ספר היכל עונג,"Horowitz, Jehuda - הורוויץ, יהודה",Author,,,,,,,,
producer410,"Satanow, Isaak - סטנוב, יצחק",ספר הכוזרי - תקנ''ה,"Satanow, Isaak - סטנוב, יצחק",Commentator,,,,,,,,
producer411,"Samocz, Israel - זמושץ, ישראל",ספר הכוזרי - תקנ''ו,"Samocz, Israel - זמושץ, ישראל",Commentator,,,,,,,,
producer412,ירוחם בן ישכר בער מלבוב,ספר הכוזרי - תקנ''ו,ירוחם בן ישכר בער מלבוב,Mevi La'Dfus (Producer),,,,,,,,
producer413,צבי הירש בן מנחם נחום,ספר הלכה למעשה,צבי הירש בן מנחם נחום,Author,,,,,,,,
producer414,"Satanow, Isaak - סטנוב, יצחק",ספר המדות - 1784,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer416,"Satanow, Isaak - סטנוב, יצחק",ספר המדות א,"Satanow, Isaak - סטנוב, יצחק",Commentator,,,,,,,,
producer415,"Wessely, Hartwig - וייזל, נפתלי הרץ","ספר המדות א - תקמ""ו","Wessely, Hartwig - וייזל, נפתלי הרץ",Author,,,,,,,,
producer417,"Satanow, Isaak - סטנוב, יצחק",ספר המדות ב,"Satanow, Isaak - סטנוב, יצחק",Commentator,,,,,,,,
producer418,"Gerson, Elias - אליהו מפינטשוב",ספר העקרים,"Gerson, Elias - אליהו מפינטשוב",Editor,,,,,,,,
producer419,"Satanow, Isaak - סטנוב, יצחק",ספר השרשים א,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer420,"Satanow, Isaak - סטנוב, יצחק",ספר השרשים ב,"Satanow, Isaak - סטנוב, יצחק",Author,,,,,,,,
producer421,"Satanow, Isaak - סטנוב, יצחק",ספר ויעתר יצחק,"Satanow, Isaak - סטנוב, יצחק",Editor,,,,,,,,
producer422,"Buchner, Zeev Wolf - בוכנר, זאב וולף",ספר זבד המליצה,"Buchner, Zeev Wolf - בוכנר, זאב וולף",Author,,,,,,,,
producer423,"מינדן, יהודה ליב בן יואל",ספר זכר רב,"מינדן, יהודה ליב בן יואל",Mevi La'Dfus (Producer),,,,,,,,
producer424,"Mendelssohn, Moses - מנדלסון, משה",ספר זמירות ישראל א,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer425,"Löwe, Joel - ברי""ל, יואל",ספר זמירות ישראל א,"Löwe, Joel - ברי""ל, יואל","Commentator,Editor",,,,,,,,
producer426,"Mendelssohn, Moses - מנדלסון, משה",ספר זמירות ישראל ב,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer427,"Löwe, Joel - ברי""ל, יואל",ספר זמירות ישראל ב,"Löwe, Joel - ברי""ל, יואל","Commentator,Editor",,,,,,,,
producer428,"Mendelssohn, Moses - מנדלסון, משה",ספר זמירות ישראל ג,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer429,"Löwe, Joel - ברי""ל, יואל",ספר זמירות ישראל ג,"Löwe, Joel - ברי""ל, יואל","Commentator,Editor",,,,,,,,
producer430,"Mendelssohn, Moses - מנדלסון, משה",ספר זמירות ישראל ד,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer431,"Löwe, Joel - ברי""ל, יואל",ספר זמירות ישראל ד,"Löwe, Joel - ברי""ל, יואל","Commentator,Editor",,,,,,,,
producer432,"Löwe, Joel - ברי""ל, יואל",ספר זמירות ישראל ה,"Löwe, Joel - ברי""ל, יואל",Author,,,,,,,,
producer433,"Kerner, Moshe - קרנר, משה בן אליעזר",ספר זרע קודש,"Kerner, Moshe - קרנר, משה בן אליעזר",Author,,,,,,,,
producer434,"Ulmann, Naphtalie Herz - אולמן, נפתלי הרץ",ספר חכמת השרשים,"Ulmann, Naphtalie Herz - אולמן, נפתלי הרץ",Author,,,,,,,,
producer435,"Wessely, Hartwig - וייזל, נפתלי הרץ",ספר חכמת שלמה,"Wessely, Hartwig - וייזל, נפתלי הרץ","Translator,Commentator",,,,,,,,
producer436,"Landau, Israel - לנדא, ישראל",ספר חק לישראל,"Landau, Israel - לנדא, ישראל","Mevi La'Dfus (Producer),Translator,Editor",,,,,,,,
producer437,יעקב חיים בן יהושע הכהן,ספר חקי חיים,יעקב חיים בן יהושע הכהן,Author,,,,,,,,
producer438,"יהודה ליב בן משה, מהמבורג",ספר טורי ישפה,"יהודה ליב בן משה, מהמבורג",Author,,,,,,,,
producer439,"Schack, Chaim ben Mosche - שק, חיים בן משה",ספר יד חיים,"Schack, Chaim ben Mosche - שק, חיים בן משה",Author,,,,,,,,
producer440,"Sandersleben, Mosse Levi - סנדרסלבן, משה לוי",ספר יסוד חנוך נערים,"Sandersleben, Mosse Levi - סנדרסלבן, משה לוי","Author,Translator",,,,,,,,
producer441,בנימין משה מעלי,ספר יסוד מורא,בנימין משה מעלי,Mevi La'Dfus (Producer),,,,,,,,
producer442,"Baruch Schick of Shklov - שיק, ברוך משקלוב",ספר יסוד עולם,"Baruch Schick of Shklov - שיק, ברוך משקלוב",Mevi La'Dfus (Producer),,,,,,,,
producer443,"Friesenhausen, David ben Meir Hakohen - פריזנהויזן, דוד",ספר כליל החשבון,"Friesenhausen, David ben Meir Hakohen - פריזנהויזן, דוד",Author,,,,,,,,
producer444,"Horowitz, Jehuda - הורוויץ, יהודה",ספר כרם עין גדי,"Horowitz, Jehuda - הורוויץ, יהודה",Author,,,,,,,,
producer445,"Berlin Saul - ברלין, שאול",ספר כתב יושר,"Berlin Saul - ברלין, שאול",Author,,,,,,,,
producer446,אנונימי,ספר כתר מלכות,אנונימי,,,,,,,,,
producer447,אנונימי,ספר לשון למודים,אנונימי,Mevi La'Dfus (Producer),,,,,,,,
producer448,"Cohen, Benjamin Moses - כהן, בנימין משה",ספר מאזנים,"Cohen, Benjamin Moses - כהן, בנימין משה",Mevi La'Dfus (Producer),,,,,,,,
producer449,"פולק, מאיר בן גבריאל",ספר מאיר נתיב הלשון א,"פולק, מאיר בן גבריאל",Author,,,,,,,,
producer450,"Gumpertz, Aaron - גומפרץ, אהרון",ספר מגלה סוד,"Gumpertz, Aaron - גומפרץ, אהרון","Author,Commentator",,,,,,,,
producer451,"Horowitz, Jehuda - הורוויץ, יהודה",ספר מגלת סדרים,"Horowitz, Jehuda - הורוויץ, יהודה",Author,,,,,,,,
producer452,"Levin, Menachem Mendel - לפין, מנחם מנדל",ספר מודע לבינה,"Levin, Menachem Mendel - לפין, מנחם מנדל",Author,,,,,,,,
producer453,"הכים, משה בן חיים",ספר מכלול,"הכים, משה בן חיים","Commentator,Mevi La'Dfus (Producer)",,,,,,,,
producer454,"Katz, Haim Abraham - כץ, חיים אברהם בן יהודה",ספר מלחמה בשלום,"Katz, Haim Abraham - כץ, חיים אברהם בן יהודה",Author,,,,,,,,
producer455,"מינדן, יהודה ליב בן יואל",ספר מלים לאלוה,"מינדן, יהודה ליב בן יואל",Editor,,,,,,,,
producer456,"Wolfsohn-Halle, Aron - וולפסון, אהרון",ספר מלכים א,"Wolfsohn-Halle, Aron - וולפסון, אהרון","Translator,Commentator",,,,,,,,
producer457,"Wolfsohn-Halle, Aron - וולפסון, אהרון",ספר מלכים ב,"Wolfsohn-Halle, Aron - וולפסון, אהרון","Translator,Commentator",,,,,,,,
producer458,"Obernick, Meir - אוברניק, מאיר",ספר מנחה חדשה א,"Obernick, Meir - אוברניק, מאיר","Translator,Commentator",,,,,,,,
producer459,"Obernick, Meir - אוברניק, מאיר",ספר מנחה חדשה ב,"Obernick, Meir - אוברניק, מאיר","Translator,Commentator",,,,,,,,
producer460,"Detmold, Samuel - דטמולד, שמואל",ספר מנחה חדשה ב,"Detmold, Samuel - דטמולד, שמואל","Translator,Commentator",,,,,,,,
producer461,"Obernick, Meir - אוברניק, מאיר",ספר מנחה חדשה ד,"Obernick, Meir - אוברניק, מאיר","Translator,Commentator",,,,,,,,
producer462,"Obernick, Meir - אוברניק, מאיר",ספר מנחה חדשה ה,"Obernick, Meir - אוברניק, מאיר","Translator,Commentator",,,,,,,,
producer463,"Detmold, Samuel - דטמולד, שמואל",ספר מנחה חדשה ו,"Detmold, Samuel - דטמולד, שמואל","Translator,Commentator",,,,,,,,
producer466,"Wolfsohn-Halle, Aron - וולפסון, אהרון",ספר מנחה חדשה י,"Wolfsohn-Halle, Aron - וולפסון, אהרון","Translator,Commentator",,,,,,,,
producer464,"Detmold, Samuel - דטמולד, שמואל","ספר מנחה חדשה י""א","Detmold, Samuel - דטמולד, שמואל","Translator,Commentator",,,,,,,,
producer465,"Detmold, Samuel - דטמולד, שמואל","ספר מנחה חדשה י""ב","Detmold, Samuel - דטמולד, שמואל","Translator,Commentator",,,,,,,,
producer467,"Neumann, Israel Moses - נוימן, ישראל משה",ספר מנחה טהורה,"Neumann, Israel Moses - נוימן, ישראל משה",Translator,,,,,,,,
producer468,"Löwe, Joel - ברי""ל, יואל",ספר מנחה טהורה,"Löwe, Joel - ברי""ל, יואל",Translator,,,,,,,,
producer469,"Wolf, Joseph - וולף, יוסף",ספר מנחה טהורה,"Wolf, Joseph - וולף, יוסף",Translator,,,,,,,,
producer470,"Salomon, Gotthold - סלומון, גוטהולד",ספר מנחה טהורה,"Salomon, Gotthold - סלומון, גוטהולד",Translator,,,,,,,,
producer471,"Philippson, Moses - פיליפסון, משה",ספר מנחה טהורה,"Philippson, Moses - פיליפסון, משה",,,,,,,,,
producer472,"Cöslin, Chajim - קסלין, חיים",ספר מסלול,"Cöslin, Chajim - קסלין, חיים",Author,,,,,,,,
producer473,"Neumann, Moses Samuel - נוימן, משה שמואל",ספר מעגל ישר,"Neumann, Moses Samuel - נוימן, משה שמואל",Author,,,,,,,,
producer474,"Worms, Ascher Anschel - וורמס, אנשיל",ספר מעדני מלך,"Worms, Ascher Anschel - וורמס, אנשיל",,,,,,,,,
producer475,"אברהם בן מודל, מאטינגן",ספר מערכת אברהם,"אברהם בן מודל, מאטינגן",,,,,,,,,
producer476,גדליה בן משה,ספר מעשי יהוה א,גדליה בן משה,,,,,,,,,
producer477,גדליה בן משה,ספר מעשי יהוה ב,גדליה בן משה,"Author,Translator",,,,,,,,
producer478,"Berlin, Saul - ברלין, שאול",ספר מצפה יקתאל,"Berlin, Saul - ברלין, שאול",Author,,,,,,,,
producer479,"Friedländer, David - פרידלענדר, דוד",ספר מצפה יקתאל,"Friedländer, David - פרידלענדר, דוד",Mevi La'Dfus (Producer),,,,,,,,
producer480,"Itzig, Isaac Daniel - איציג, יצחק דניאל",ספר מצפה יקתאל,"Itzig, Isaac Daniel - איציג, יצחק דניאל",Mevi La'Dfus (Producer),,,,,,,,
producer481,"Schulman, Naftali Hirtz - שולמן, נפתלי הרץ",ספר מקוה ישראל,"Schulman, Naftali Hirtz - שולמן, נפתלי הרץ",Mevi La'Dfus (Producer),,,,,,,,
producer482,"Waltsch, Shimeon - ולטש, שמעון",ספר נאוה קדש,"Waltsch, Shimeon - ולטש, שמעון",Commentator,,,,,,,,
producer483,"Samocz, Israel - זמושץ, ישראל",ספר נזד הדמע,"Samocz, Israel - זמושץ, ישראל",Author,,,,,,,,
producer484,"Mendelssohn, Moses - מנדלסון, משה",ספר נתיבות השלום א,"Mendelssohn, Moses - מנדלסון, משה","Translator,Commentator",,,,,,,,
producer485,"Dubno, Salomon - דובנא, שלמה",ספר נתיבות השלום א,"Dubno, Salomon - דובנא, שלמה",Commentator,,,,,,,,
producer486,"Mendelssohn, Moses - מנדלסון, משה",ספר נתיבות השלום ב,"Mendelssohn, Moses - מנדלסון, משה","Translator,Commentator",,,,,,,,
producer487,"Dubno, Salomon - דובנא, שלמה",ספר נתיבות השלום ב,"Dubno, Salomon - דובנא, שלמה",Commentator,,,,,,,,
producer488,"Mendelssohn, Moses - מנדלסון, משה",ספר נתיבות השלום ג,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer489,"Wessely, Hartwig - וייזל, נפתלי הרץ",ספר נתיבות השלום ג,"Wessely, Hartwig - וייזל, נפתלי הרץ",Commentator,,,,,,,,
producer490,"Mendelssohn, Moses - מנדלסון, משה",ספר נתיבות השלום ד,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer491,"Jaroslaw, Aron - ירוסלב, אהרן",ספר נתיבות השלום ד,"Jaroslaw, Aron - ירוסלב, אהרן",Commentator,,,,,,,,
producer492,"Mendelssohn, Moses - מנדלסון, משה",ספר נתיבות השלום ה,"Mendelssohn, Moses - מנדלסון, משה",Translator,,,,,,,,
producer493,"Homberg, Herz - הרץ, הומברג",ספר נתיבות השלום ה,"Homberg, Herz - הרץ, הומברג",Commentator,,,,,,,,
producer494,"Schwabacher, Heimann - שובכר, חיים צבי",ספר עוללות הבוחן,"Schwabacher, Heimann - שובכר, חיים צבי",Translator,,,,,,,,
producer495,"Ottensosser, David - אוטנזוסר, דוד",ספר עוללות הבוחן,"Ottensosser, David - אוטנזוסר, דוד",Commentator,,,,,,,,
producer496,אנונימי,ספר עין דור,אנונימי,Author,,,,,,,,
producer497,"שטראשון, שלמה",ספר עין דור,"שטראשון, שלמה",,,,,,,,,
producer498,"Oppenheim, Simon ben David - אופנהים, שמעון בן דוד",ספר עמוד השחר,"Oppenheim, Simon ben David - אופנהים, שמעון בן דוד",Author,,,,,,,,
producer499,"Horowitz, Jehuda - הורוויץ, יהודה",ספר עמודי בית יהודה,"Horowitz, Jehuda - הורוויץ, יהודה",Author,,,,,,,,
producer500,"Baruch Schick of Shklov - שיק, ברוך משקלוב",ספר עמודי השמים,"Baruch Schick of Shklov - שיק, ברוך משקלוב",Author,,,,,,,,
producer501,"Chorin, Aaron - אהרן בן קלמן",ספר עמק השוה,"Chorin, Aaron - אהרן בן קלמן",Author,,,,,,,,
producer502,"מרגליות, יהודה ליב בן אשר זליג",ספר עצי עדן,"מרגליות, יהודה ליב בן אשר זליג",Author,,,,,,,,
producer503,"מנשה בן יוסף,מאיליא",ספר פשר דבר,"מנשה בן יוסף,מאיליא",Author,,,,,,,,
producer504,"Hanau, Salomon - הנאו, שלמה זלמן",ספר צוהר התיבה,"Hanau, Salomon - הנאו, שלמה זלמן",Author,,,,,,,,
producer505,"Buchner, Zeev Wolf - בוכנר, זאב וולף",ספר צחות המליצה,"Buchner, Zeev Wolf - בוכנר, זאב וולף",Author,,,,,,,,
producer506,"Horowitz, Jehuda - הורוויץ, יהודה",ספר צל המעלות,"Horowitz, Jehuda - הורוויץ, יהודה",Author,,,,,,,,
producer507,"Samocz, Israel - זמושץ, ישראל",ספר רוח חן,"Samocz, Israel - זמושץ, ישראל",Commentator,,,,,,,,
producer508,אנונימי,ספר רוח חן,אנונימי,Mevi La'Dfus (Producer),,,,,,,,
producer509,,ספר רוח חן,,,,,,,,,,
producer510,"Marcuse, Moses - מרקוזי, משה",ספר רפואות הנקרא עזר ישראל,"Marcuse, Moses - מרקוזי, משה",Translator,,,,,,,,
producer511,"Levin, Menachem Mendel - לפין, מנחם מנדל",ספר רפואת העם,"Levin, Menachem Mendel - לפין, מנחם מנדל",Translator,,,,,,,,
producer512,"Berlin Saul - ברלין, שאול",ספר שאלות ותשובות בשמים ראש,"Berlin Saul - ברלין, שאול",Author,,,,,,,,
producer513,"הכים, אליהו בן חיים",ספר שבילי דרקיע,"הכים, אליהו בן חיים",Author,,,,,,,,
producer514,"Soldin, Jakob - זולדין, אליקים איסרל",ספר שומר אמונים,"Soldin, Jakob - זולדין, אליקים איסרל",Author,,,,,,,,
producer515,"Hanau, Salomon - הנאו, שלמה זלמן",ספר שערי זמרה,"Hanau, Salomon - הנאו, שלמה זלמן",Author,,,,,,,,
producer516,הענלי בן שמעון אולמא,ספר שערי זמרה,הענלי בן שמעון אולמא,Mevi La'Dfus (Producer),,,,,,,,
producer517,"חלם, שלמה בן משה",ספר שערי נעימה,"חלם, שלמה בן משה",Author,,,,,,,,
